date,year,month,commodity,category,unit,currency,price
2010-02-18,2010,2,Copper,industrial_metal,tonne,USD,7740.3834
2010-02-19,2010,2,Copper,industrial_metal,tonne,USD,7858.3604
2010-02-22,2010,2,Copper,industrial_metal,tonne,USD,8064.2909
2010-02-23,2010,2,Copper,industrial_metal,tonne,USD,7995.5795
2010-02-24,2010,2,Copper,industrial_metal,tonne,USD,7793.2261
2010-02-25,2010,2,Copper,industrial_metal,tonne,USD,7629.547
2010-02-26,2010,2,Copper,industrial_metal,tonne,USD,7776.1643
2010-03-01,2010,3,Copper,industrial_metal,tonne,USD,7924.2386
2010-03-02,2010,3,Copper,industrial_metal,tonne,USD,8014.2293
2010-03-03,2010,3,Copper,industrial_metal,tonne,USD,7850.7977
2010-03-04,2010,3,Copper,industrial_metal,tonne,USD,7891.8029
2010-03-05,2010,3,Copper,industrial_metal,tonne,USD,7905.1296
2010-03-08,2010,3,Copper,industrial_metal,tonne,USD,7939.706
2010-03-09,2010,3,Copper,industrial_metal,tonne,USD,8099.8662
2010-03-10,2010,3,Copper,industrial_metal,tonne,USD,8109.3246
2010-03-11,2010,3,Copper,industrial_metal,tonne,USD,8210.7422
2010-03-12,2010,3,Copper,industrial_metal,tonne,USD,8174.1979
2010-03-15,2010,3,Copper,industrial_metal,tonne,USD,8191.3975
2010-03-16,2010,3,Copper,industrial_metal,tonne,USD,8277.2296
2010-03-17,2010,3,Copper,industrial_metal,tonne,USD,7920.3953
2010-03-18,2010,3,Copper,industrial_metal,tonne,USD,7856.3355
2010-03-19,2010,3,Copper,industrial_metal,tonne,USD,7773.8147
2010-03-22,2010,3,Copper,industrial_metal,tonne,USD,7674.9454
2010-03-23,2010,3,Copper,industrial_metal,tonne,USD,7663.294
2010-03-24,2010,3,Copper,industrial_metal,tonne,USD,7993.6042
2010-03-25,2010,3,Copper,industrial_metal,tonne,USD,7815.9529
2010-03-26,2010,3,Copper,industrial_metal,tonne,USD,8028.1946
2010-03-29,2010,3,Copper,industrial_metal,tonne,USD,7684.6906
2010-03-30,2010,3,Copper,industrial_metal,tonne,USD,7667.1522
2010-03-31,2010,3,Copper,industrial_metal,tonne,USD,7748.7952
2010-04-01,2010,4,Copper,industrial_metal,tonne,USD,7901.5755
2010-04-02,2010,4,Copper,industrial_metal,tonne,USD,8059.3881
2010-04-05,2010,4,Copper,industrial_metal,tonne,USD,8215.9321
2010-04-06,2010,4,Copper,industrial_metal,tonne,USD,8118.5367
2010-04-07,2010,4,Copper,industrial_metal,tonne,USD,8014.5547
2010-04-08,2010,4,Copper,industrial_metal,tonne,USD,8192.9349
2010-04-09,2010,4,Copper,industrial_metal,tonne,USD,8134.4843
2010-04-12,2010,4,Copper,industrial_metal,tonne,USD,7867.6098
2010-04-13,2010,4,Copper,industrial_metal,tonne,USD,7678.3032
2010-04-14,2010,4,Copper,industrial_metal,tonne,USD,7564.8204
2010-04-15,2010,4,Copper,industrial_metal,tonne,USD,7739.8963
2010-04-16,2010,4,Copper,industrial_metal,tonne,USD,7823.2635
2010-04-19,2010,4,Copper,industrial_metal,tonne,USD,8004.6641
2010-04-20,2010,4,Copper,industrial_metal,tonne,USD,7939.3251
2010-04-21,2010,4,Copper,industrial_metal,tonne,USD,8001.7719
2010-04-22,2010,4,Copper,industrial_metal,tonne,USD,8149.547
2010-04-23,2010,4,Copper,industrial_metal,tonne,USD,8088.0013
2010-04-26,2010,4,Copper,industrial_metal,tonne,USD,8194.1245
2010-04-27,2010,4,Copper,industrial_metal,tonne,USD,8057.3887
2010-04-28,2010,4,Copper,industrial_metal,tonne,USD,8004.6463
2010-04-29,2010,4,Copper,industrial_metal,tonne,USD,7957.5721
2010-04-30,2010,4,Copper,industrial_metal,tonne,USD,7757.0685
2010-05-03,2010,5,Copper,industrial_metal,tonne,USD,7922.0281
2010-05-04,2010,5,Copper,industrial_metal,tonne,USD,7875.8584
2010-05-05,2010,5,Copper,industrial_metal,tonne,USD,7933.0568
2010-05-06,2010,5,Copper,industrial_metal,tonne,USD,8075.5772
2010-05-07,2010,5,Copper,industrial_metal,tonne,USD,8192.5417
2010-05-10,2010,5,Copper,industrial_metal,tonne,USD,8341.1428
2010-05-11,2010,5,Copper,industrial_metal,tonne,USD,8311.6539
2010-05-12,2010,5,Copper,industrial_metal,tonne,USD,8220.1846
2010-05-13,2010,5,Copper,industrial_metal,tonne,USD,8215.0281
2010-05-14,2010,5,Copper,industrial_metal,tonne,USD,7881.5072
2010-05-17,2010,5,Copper,industrial_metal,tonne,USD,7662.4673
2010-05-18,2010,5,Copper,industrial_metal,tonne,USD,7509.0577
2010-05-19,2010,5,Copper,industrial_metal,tonne,USD,7445.8455
2010-05-20,2010,5,Copper,industrial_metal,tonne,USD,7654.7583
2010-05-21,2010,5,Copper,industrial_metal,tonne,USD,7585.6542
2010-05-24,2010,5,Copper,industrial_metal,tonne,USD,7631.5323
2010-05-25,2010,5,Copper,industrial_metal,tonne,USD,7991.1386
2010-05-26,2010,5,Copper,industrial_metal,tonne,USD,7978.7695
2010-05-27,2010,5,Copper,industrial_metal,tonne,USD,8187.5584
2010-05-28,2010,5,Copper,industrial_metal,tonne,USD,8027.8332
2010-05-31,2010,5,Copper,industrial_metal,tonne,USD,8044.9887
2010-06-01,2010,6,Copper,industrial_metal,tonne,USD,7910.7456
2010-06-02,2010,6,Copper,industrial_metal,tonne,USD,7921.6787
2010-06-03,2010,6,Copper,industrial_metal,tonne,USD,8165.4554
2010-06-04,2010,6,Copper,industrial_metal,tonne,USD,7854.6574
2010-06-07,2010,6,Copper,industrial_metal,tonne,USD,8031.4455
2010-06-08,2010,6,Copper,industrial_metal,tonne,USD,8145.1603
2010-06-09,2010,6,Copper,industrial_metal,tonne,USD,8074.1147
2010-06-10,2010,6,Copper,industrial_metal,tonne,USD,7843.8383
2010-06-11,2010,6,Copper,industrial_metal,tonne,USD,7955.1556
2010-06-14,2010,6,Copper,industrial_metal,tonne,USD,7933.3773
2010-06-15,2010,6,Copper,industrial_metal,tonne,USD,8067.3355
2010-06-16,2010,6,Copper,industrial_metal,tonne,USD,8140.4766
2010-06-17,2010,6,Copper,industrial_metal,tonne,USD,8525.2374
2010-06-18,2010,6,Copper,industrial_metal,tonne,USD,8476.306
2010-06-21,2010,6,Copper,industrial_metal,tonne,USD,8271.8926
2010-06-22,2010,6,Copper,industrial_metal,tonne,USD,8353.1191
2010-06-23,2010,6,Copper,industrial_metal,tonne,USD,8432.0463
2010-06-24,2010,6,Copper,industrial_metal,tonne,USD,8740.7284
2010-06-25,2010,6,Copper,industrial_metal,tonne,USD,8900.094
2010-06-28,2010,6,Copper,industrial_metal,tonne,USD,8935.5236
2010-06-29,2010,6,Copper,industrial_metal,tonne,USD,9214.1356
2010-06-30,2010,6,Copper,industrial_metal,tonne,USD,8851.2528
2010-07-01,2010,7,Copper,industrial_metal,tonne,USD,8676.0901
2010-07-02,2010,7,Copper,industrial_metal,tonne,USD,8468.8075
2010-07-05,2010,7,Copper,industrial_metal,tonne,USD,8414.1143
2010-07-06,2010,7,Copper,industrial_metal,tonne,USD,8161.5829
2010-07-07,2010,7,Copper,industrial_metal,tonne,USD,8367.1341
2010-07-08,2010,7,Copper,industrial_metal,tonne,USD,8366.7895
2010-07-09,2010,7,Copper,industrial_metal,tonne,USD,8106.3498
2010-07-12,2010,7,Copper,industrial_metal,tonne,USD,7989.8594
2010-07-13,2010,7,Copper,industrial_metal,tonne,USD,8160.2989
2010-07-14,2010,7,Copper,industrial_metal,tonne,USD,8414.5503
2010-07-15,2010,7,Copper,industrial_metal,tonne,USD,8880.7368
2010-07-16,2010,7,Copper,industrial_metal,tonne,USD,9504.9038
2010-07-19,2010,7,Copper,industrial_metal,tonne,USD,9490.0388
2010-07-20,2010,7,Copper,industrial_metal,tonne,USD,9145.1788
2010-07-21,2010,7,Copper,industrial_metal,tonne,USD,8600.3851
2010-07-22,2010,7,Copper,industrial_metal,tonne,USD,8683.3366
2010-07-23,2010,7,Copper,industrial_metal,tonne,USD,8520.8259
2010-07-26,2010,7,Copper,industrial_metal,tonne,USD,8473.7395
2010-07-27,2010,7,Copper,industrial_metal,tonne,USD,8393.544
2010-07-28,2010,7,Copper,industrial_metal,tonne,USD,8426.5202
2010-07-29,2010,7,Copper,industrial_metal,tonne,USD,8709.6731
2010-07-30,2010,7,Copper,industrial_metal,tonne,USD,8761.0035
2010-08-02,2010,8,Copper,industrial_metal,tonne,USD,8738.7446
2010-08-03,2010,8,Copper,industrial_metal,tonne,USD,8529.3287
2010-08-04,2010,8,Copper,industrial_metal,tonne,USD,8221.5021
2010-08-05,2010,8,Copper,industrial_metal,tonne,USD,8218.0101
2010-08-06,2010,8,Copper,industrial_metal,tonne,USD,8304.9638
2010-08-09,2010,8,Copper,industrial_metal,tonne,USD,8760.0402
2010-08-10,2010,8,Copper,industrial_metal,tonne,USD,8809.3376
2010-08-11,2010,8,Copper,industrial_metal,tonne,USD,9040.1593
2010-08-12,2010,8,Copper,industrial_metal,tonne,USD,8908.0999
2010-08-13,2010,8,Copper,industrial_metal,tonne,USD,8645.8194
2010-08-16,2010,8,Copper,industrial_metal,tonne,USD,8481.2164
2010-08-17,2010,8,Copper,industrial_metal,tonne,USD,8397.1567
2010-08-18,2010,8,Copper,industrial_metal,tonne,USD,8927.3203
2010-08-19,2010,8,Copper,industrial_metal,tonne,USD,8748.8295
2010-08-20,2010,8,Copper,industrial_metal,tonne,USD,8964.844
2010-08-23,2010,8,Copper,industrial_metal,tonne,USD,8765.7475
2010-08-24,2010,8,Copper,industrial_metal,tonne,USD,9004.0459
2010-08-25,2010,8,Copper,industrial_metal,tonne,USD,9090.1212
2010-08-26,2010,8,Copper,industrial_metal,tonne,USD,9042.0529
2010-08-27,2010,8,Copper,industrial_metal,tonne,USD,9028.594
2010-08-30,2010,8,Copper,industrial_metal,tonne,USD,8881.6242
2010-08-31,2010,8,Copper,industrial_metal,tonne,USD,9004.5584
2010-09-01,2010,9,Copper,industrial_metal,tonne,USD,8908.6003
2010-09-02,2010,9,Copper,industrial_metal,tonne,USD,8657.5153
2010-09-03,2010,9,Copper,industrial_metal,tonne,USD,8441.4768
2010-09-06,2010,9,Copper,industrial_metal,tonne,USD,8573.9119
2010-09-07,2010,9,Copper,industrial_metal,tonne,USD,8989.5511
2010-09-08,2010,9,Copper,industrial_metal,tonne,USD,9041.343
2010-09-09,2010,9,Copper,industrial_metal,tonne,USD,9023.6107
2010-09-10,2010,9,Copper,industrial_metal,tonne,USD,9100.8511
2010-09-13,2010,9,Copper,industrial_metal,tonne,USD,9402.2203
2010-09-14,2010,9,Copper,industrial_metal,tonne,USD,9413.825
2010-09-15,2010,9,Copper,industrial_metal,tonne,USD,9276.4292
2010-09-16,2010,9,Copper,industrial_metal,tonne,USD,9513.9299
2010-09-17,2010,9,Copper,industrial_metal,tonne,USD,9562.2413
2010-09-20,2010,9,Copper,industrial_metal,tonne,USD,9871.51
2010-09-21,2010,9,Copper,industrial_metal,tonne,USD,9813.4938
2010-09-22,2010,9,Copper,industrial_metal,tonne,USD,9419.5691
2010-09-23,2010,9,Copper,industrial_metal,tonne,USD,9063.9713
2010-09-24,2010,9,Copper,industrial_metal,tonne,USD,9459.0162
2010-09-27,2010,9,Copper,industrial_metal,tonne,USD,9831.361
2010-09-28,2010,9,Copper,industrial_metal,tonne,USD,9697.1436
2010-09-29,2010,9,Copper,industrial_metal,tonne,USD,9535.3034
2010-09-30,2010,9,Copper,industrial_metal,tonne,USD,9840.0346
2010-10-01,2010,10,Copper,industrial_metal,tonne,USD,9479.3562
2010-10-04,2010,10,Copper,industrial_metal,tonne,USD,9236.1291
2010-10-05,2010,10,Copper,industrial_metal,tonne,USD,9390.9852
2010-10-06,2010,10,Copper,industrial_metal,tonne,USD,9282.4405
2010-10-07,2010,10,Copper,industrial_metal,tonne,USD,9282.6493
2010-10-08,2010,10,Copper,industrial_metal,tonne,USD,9247.1028
2010-10-11,2010,10,Copper,industrial_metal,tonne,USD,9335.9087
2010-10-12,2010,10,Copper,industrial_metal,tonne,USD,9662.8743
2010-10-13,2010,10,Copper,industrial_metal,tonne,USD,9635.1917
2010-10-14,2010,10,Copper,industrial_metal,tonne,USD,9745.9077
2010-10-15,2010,10,Copper,industrial_metal,tonne,USD,9186.4019
2010-10-18,2010,10,Copper,industrial_metal,tonne,USD,9202.2041
2010-10-19,2010,10,Copper,industrial_metal,tonne,USD,9033.8524
2010-10-20,2010,10,Copper,industrial_metal,tonne,USD,8810.4955
2010-10-21,2010,10,Copper,industrial_metal,tonne,USD,8703.4996
2010-10-22,2010,10,Copper,industrial_metal,tonne,USD,8734.2931
2010-10-25,2010,10,Copper,industrial_metal,tonne,USD,9036.2139
2010-10-26,2010,10,Copper,industrial_metal,tonne,USD,8794.2304
2010-10-27,2010,10,Copper,industrial_metal,tonne,USD,8895.9353
2010-10-28,2010,10,Copper,industrial_metal,tonne,USD,8868.9884
2010-10-29,2010,10,Copper,industrial_metal,tonne,USD,8882.126
2010-11-01,2010,11,Copper,industrial_metal,tonne,USD,9191.6628
2010-11-02,2010,11,Copper,industrial_metal,tonne,USD,9356.7751
2010-11-03,2010,11,Copper,industrial_metal,tonne,USD,9687.3266
2010-11-04,2010,11,Copper,industrial_metal,tonne,USD,9619.0504
2010-11-05,2010,11,Copper,industrial_metal,tonne,USD,9432.0937
2010-11-08,2010,11,Copper,industrial_metal,tonne,USD,9390.803
2010-11-09,2010,11,Copper,industrial_metal,tonne,USD,9466.4403
2010-11-10,2010,11,Copper,industrial_metal,tonne,USD,9516.6062
2010-11-11,2010,11,Copper,industrial_metal,tonne,USD,9260.4839
2010-11-12,2010,11,Copper,industrial_metal,tonne,USD,9322.7388
2010-11-15,2010,11,Copper,industrial_metal,tonne,USD,9410.9501
2010-11-16,2010,11,Copper,industrial_metal,tonne,USD,10026.0495
2010-11-17,2010,11,Copper,industrial_metal,tonne,USD,10428.0389
2010-11-18,2010,11,Copper,industrial_metal,tonne,USD,10077.8722
2010-11-19,2010,11,Copper,industrial_metal,tonne,USD,9931.2836
2010-11-22,2010,11,Copper,industrial_metal,tonne,USD,9518.7934
2010-11-23,2010,11,Copper,industrial_metal,tonne,USD,9391.9698
2010-11-24,2010,11,Copper,industrial_metal,tonne,USD,9499.8611
2010-11-25,2010,11,Copper,industrial_metal,tonne,USD,9804.868
2010-11-26,2010,11,Copper,industrial_metal,tonne,USD,9600.0406
2010-11-29,2010,11,Copper,industrial_metal,tonne,USD,9450.707
2010-11-30,2010,11,Copper,industrial_metal,tonne,USD,8974.4513
2010-12-01,2010,12,Copper,industrial_metal,tonne,USD,9041.4901
2010-12-02,2010,12,Copper,industrial_metal,tonne,USD,8895.8409
2010-12-03,2010,12,Copper,industrial_metal,tonne,USD,8895.4561
2010-12-06,2010,12,Copper,industrial_metal,tonne,USD,8820.9236
2010-12-07,2010,12,Copper,industrial_metal,tonne,USD,8932.8029
2010-12-08,2010,12,Copper,industrial_metal,tonne,USD,8657.1683
2010-12-09,2010,12,Copper,industrial_metal,tonne,USD,8498.9207
2010-12-10,2010,12,Copper,industrial_metal,tonne,USD,9135.3462
2010-12-13,2010,12,Copper,industrial_metal,tonne,USD,8932.9253
2010-12-14,2010,12,Copper,industrial_metal,tonne,USD,8810.9733
2010-12-15,2010,12,Copper,industrial_metal,tonne,USD,9357.8937
2010-12-16,2010,12,Copper,industrial_metal,tonne,USD,10098.8009
2010-12-17,2010,12,Copper,industrial_metal,tonne,USD,9754.1709
2010-12-20,2010,12,Copper,industrial_metal,tonne,USD,9670.273
2010-12-21,2010,12,Copper,industrial_metal,tonne,USD,9772.3494
2010-12-22,2010,12,Copper,industrial_metal,tonne,USD,10199.8939
2010-12-23,2010,12,Copper,industrial_metal,tonne,USD,9890.3419
2010-12-24,2010,12,Copper,industrial_metal,tonne,USD,9819.2387
2010-12-27,2010,12,Copper,industrial_metal,tonne,USD,10013.3208
2010-12-28,2010,12,Copper,industrial_metal,tonne,USD,10097.3224
2010-12-29,2010,12,Copper,industrial_metal,tonne,USD,9965.9503
2010-12-30,2010,12,Copper,industrial_metal,tonne,USD,9916.9135
2010-12-31,2010,12,Copper,industrial_metal,tonne,USD,9568.723
2011-01-03,2011,1,Copper,industrial_metal,tonne,USD,9559.705
2011-01-04,2011,1,Copper,industrial_metal,tonne,USD,9546.3675
2011-01-05,2011,1,Copper,industrial_metal,tonne,USD,9655.1219
2011-01-06,2011,1,Copper,industrial_metal,tonne,USD,9559.1269
2011-01-07,2011,1,Copper,industrial_metal,tonne,USD,9725.2794
2011-01-10,2011,1,Copper,industrial_metal,tonne,USD,10003.0965
2011-01-11,2011,1,Copper,industrial_metal,tonne,USD,10032.9038
2011-01-12,2011,1,Copper,industrial_metal,tonne,USD,10108.6162
2011-01-13,2011,1,Copper,industrial_metal,tonne,USD,10099.1935
2011-01-14,2011,1,Copper,industrial_metal,tonne,USD,10078.7895
2011-01-17,2011,1,Copper,industrial_metal,tonne,USD,9882.6651
2011-01-18,2011,1,Copper,industrial_metal,tonne,USD,9976.9825
2011-01-19,2011,1,Copper,industrial_metal,tonne,USD,9955.7085
2011-01-20,2011,1,Copper,industrial_metal,tonne,USD,10483.8826
2011-01-21,2011,1,Copper,industrial_metal,tonne,USD,10825.2451
2011-01-24,2011,1,Copper,industrial_metal,tonne,USD,10810.5048
2011-01-25,2011,1,Copper,industrial_metal,tonne,USD,10488.3447
2011-01-26,2011,1,Copper,industrial_metal,tonne,USD,10130.0677
2011-01-27,2011,1,Copper,industrial_metal,tonne,USD,10419.8921
2011-01-28,2011,1,Copper,industrial_metal,tonne,USD,10434.0464
2011-01-31,2011,1,Copper,industrial_metal,tonne,USD,10505.9293
2011-02-01,2011,2,Copper,industrial_metal,tonne,USD,9984.5885
2011-02-02,2011,2,Copper,industrial_metal,tonne,USD,10232.1805
2011-02-03,2011,2,Copper,industrial_metal,tonne,USD,10328.3914
2011-02-04,2011,2,Copper,industrial_metal,tonne,USD,10008.2208
2011-02-07,2011,2,Copper,industrial_metal,tonne,USD,9907.873
2011-02-08,2011,2,Copper,industrial_metal,tonne,USD,10006.8944
2011-02-09,2011,2,Copper,industrial_metal,tonne,USD,10039.8836
2011-02-10,2011,2,Copper,industrial_metal,tonne,USD,9982.4815
2011-02-11,2011,2,Copper,industrial_metal,tonne,USD,9982.2143
2011-02-14,2011,2,Copper,industrial_metal,tonne,USD,9947.9828
2011-02-15,2011,2,Copper,industrial_metal,tonne,USD,10020.7276
2011-02-16,2011,2,Copper,industrial_metal,tonne,USD,10412.7109
2011-02-17,2011,2,Copper,industrial_metal,tonne,USD,9708.5715
2011-02-18,2011,2,Copper,industrial_metal,tonne,USD,9720.1698
2011-02-21,2011,2,Copper,industrial_metal,tonne,USD,9828.7795
2011-02-22,2011,2,Copper,industrial_metal,tonne,USD,9950.393
2011-02-23,2011,2,Copper,industrial_metal,tonne,USD,9887.9726
2011-02-24,2011,2,Copper,industrial_metal,tonne,USD,9492.6292
2011-02-25,2011,2,Copper,industrial_metal,tonne,USD,9668.1432
2011-02-28,2011,2,Copper,industrial_metal,tonne,USD,10155.3693
2011-03-01,2011,3,Copper,industrial_metal,tonne,USD,9762.0385
2011-03-02,2011,3,Copper,industrial_metal,tonne,USD,10027.4056
2011-03-03,2011,3,Copper,industrial_metal,tonne,USD,9959.2502
2011-03-04,2011,3,Copper,industrial_metal,tonne,USD,9967.8629
2011-03-07,2011,3,Copper,industrial_metal,tonne,USD,9726.4445
2011-03-08,2011,3,Copper,industrial_metal,tonne,USD,9701.7479
2011-03-09,2011,3,Copper,industrial_metal,tonne,USD,10076.8571
2011-03-10,2011,3,Copper,industrial_metal,tonne,USD,10226.6226
2011-03-11,2011,3,Copper,industrial_metal,tonne,USD,10649.4894
2011-03-14,2011,3,Copper,industrial_metal,tonne,USD,10877.8756
2011-03-15,2011,3,Copper,industrial_metal,tonne,USD,10877.3982
2011-03-16,2011,3,Copper,industrial_metal,tonne,USD,11231.2779
2011-03-17,2011,3,Copper,industrial_metal,tonne,USD,11180.5573
2011-03-18,2011,3,Copper,industrial_metal,tonne,USD,11245.0746
2011-03-21,2011,3,Copper,industrial_metal,tonne,USD,10983.477
2011-03-22,2011,3,Copper,industrial_metal,tonne,USD,10862.2226
2011-03-23,2011,3,Copper,industrial_metal,tonne,USD,10550.9515
2011-03-24,2011,3,Copper,industrial_metal,tonne,USD,10736.2437
2011-03-25,2011,3,Copper,industrial_metal,tonne,USD,10315.9089
2011-03-28,2011,3,Copper,industrial_metal,tonne,USD,10475.0255
2011-03-29,2011,3,Copper,industrial_metal,tonne,USD,10358.0383
2011-03-30,2011,3,Copper,industrial_metal,tonne,USD,10611.2787
2011-03-31,2011,3,Copper,industrial_metal,tonne,USD,10721.8864
2011-04-01,2011,4,Copper,industrial_metal,tonne,USD,11104.187
2011-04-04,2011,4,Copper,industrial_metal,tonne,USD,11142.3609
2011-04-05,2011,4,Copper,industrial_metal,tonne,USD,10533.4932
2011-04-06,2011,4,Copper,industrial_metal,tonne,USD,10435.6874
2011-04-07,2011,4,Copper,industrial_metal,tonne,USD,10063.8733
2011-04-08,2011,4,Copper,industrial_metal,tonne,USD,9922.6581
2011-04-11,2011,4,Copper,industrial_metal,tonne,USD,10306.2789
2011-04-12,2011,4,Copper,industrial_metal,tonne,USD,10421.1935
2011-04-13,2011,4,Copper,industrial_metal,tonne,USD,10171.9706
2011-04-14,2011,4,Copper,industrial_metal,tonne,USD,9883.8928
2011-04-15,2011,4,Copper,industrial_metal,tonne,USD,9904.3716
2011-04-18,2011,4,Copper,industrial_metal,tonne,USD,9610.8176
2011-04-19,2011,4,Copper,industrial_metal,tonne,USD,9500.7301
2011-04-20,2011,4,Copper,industrial_metal,tonne,USD,9641.9759
2011-04-21,2011,4,Copper,industrial_metal,tonne,USD,9965.8711
2011-04-22,2011,4,Copper,industrial_metal,tonne,USD,10113.8227
2011-04-25,2011,4,Copper,industrial_metal,tonne,USD,9506.9391
2011-04-26,2011,4,Copper,industrial_metal,tonne,USD,9642.2274
2011-04-27,2011,4,Copper,industrial_metal,tonne,USD,9701.7036
2011-04-28,2011,4,Copper,industrial_metal,tonne,USD,9834.7373
2011-04-29,2011,4,Copper,industrial_metal,tonne,USD,10244.2619
2011-05-02,2011,5,Copper,industrial_metal,tonne,USD,9664.945
2011-05-03,2011,5,Copper,industrial_metal,tonne,USD,9557.5668
2011-05-04,2011,5,Copper,industrial_metal,tonne,USD,9749.7676
2011-05-05,2011,5,Copper,industrial_metal,tonne,USD,9385.9002
2011-05-06,2011,5,Copper,industrial_metal,tonne,USD,9807.9021
2011-05-09,2011,5,Copper,industrial_metal,tonne,USD,9908.967
2011-05-10,2011,5,Copper,industrial_metal,tonne,USD,10113.7284
2011-05-11,2011,5,Copper,industrial_metal,tonne,USD,9933.154
2011-05-12,2011,5,Copper,industrial_metal,tonne,USD,10125.563
2011-05-13,2011,5,Copper,industrial_metal,tonne,USD,10356.9585
2011-05-16,2011,5,Copper,industrial_metal,tonne,USD,10341.8414
2011-05-17,2011,5,Copper,industrial_metal,tonne,USD,10328.7547
2011-05-18,2011,5,Copper,industrial_metal,tonne,USD,10326.2922
2011-05-19,2011,5,Copper,industrial_metal,tonne,USD,10030.9695
2011-05-20,2011,5,Copper,industrial_metal,tonne,USD,9965.2847
2011-05-23,2011,5,Copper,industrial_metal,tonne,USD,9906.8217
2011-05-24,2011,5,Copper,industrial_metal,tonne,USD,9989.5387
2011-05-25,2011,5,Copper,industrial_metal,tonne,USD,10214.0444
2011-05-26,2011,5,Copper,industrial_metal,tonne,USD,9884.3383
2011-05-27,2011,5,Copper,industrial_metal,tonne,USD,9842.9527
2011-05-30,2011,5,Copper,industrial_metal,tonne,USD,10201.5841
2011-05-31,2011,5,Copper,industrial_metal,tonne,USD,9951.6859
2011-06-01,2011,6,Copper,industrial_metal,tonne,USD,9723.8045
2011-06-02,2011,6,Copper,industrial_metal,tonne,USD,9783.3113
2011-06-03,2011,6,Copper,industrial_metal,tonne,USD,9990.6916
2011-06-06,2011,6,Copper,industrial_metal,tonne,USD,9961.6675
2011-06-07,2011,6,Copper,industrial_metal,tonne,USD,10264.5668
2011-06-08,2011,6,Copper,industrial_metal,tonne,USD,10410.387
2011-06-09,2011,6,Copper,industrial_metal,tonne,USD,10533.0175
2011-06-10,2011,6,Copper,industrial_metal,tonne,USD,10563.5316
2011-06-13,2011,6,Copper,industrial_metal,tonne,USD,11056.6326
2011-06-14,2011,6,Copper,industrial_metal,tonne,USD,10803.8095
2011-06-15,2011,6,Copper,industrial_metal,tonne,USD,10103.9349
2011-06-16,2011,6,Copper,industrial_metal,tonne,USD,10454.8724
2011-06-17,2011,6,Copper,industrial_metal,tonne,USD,10227.7645
2011-06-20,2011,6,Copper,industrial_metal,tonne,USD,10180.3079
2011-06-21,2011,6,Copper,industrial_metal,tonne,USD,10445.1331
2011-06-22,2011,6,Copper,industrial_metal,tonne,USD,9918.0054
2011-06-23,2011,6,Copper,industrial_metal,tonne,USD,9577.4531
2011-06-24,2011,6,Copper,industrial_metal,tonne,USD,9214.3827
2011-06-27,2011,6,Copper,industrial_metal,tonne,USD,9104.6109
2011-06-28,2011,6,Copper,industrial_metal,tonne,USD,9293.7669
