date,port_name,country,region_cluster,monsoon_risk_level,cyclone_risk_level,typical_disruption_days,notes
2026-09-06,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.215,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-09,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.335,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-08,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.254,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-07,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.198,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-06,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.248,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-05,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.249,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-04,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.289,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-03,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.292,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-02,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.207,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-08-01,Baltimore / Norfolk,USA,USA East Coast,Low,High,0.225,Atlantic hurricane peak (Aug–Oct); US East Coast exposure.
2026-07-31,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.189,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-30,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.162,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-29,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.111,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-28,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.175,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-27,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.14,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-26,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.199,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-25,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.155,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-24,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.14,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-23,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.086,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-22,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.117,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-21,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.142,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-20,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.161,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-19,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.142,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-18,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.123,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-17,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.171,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-16,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.114,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-15,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.097,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-14,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.121,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-13,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.089,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-12,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.118,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-11,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.141,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-10,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.176,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-09,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.168,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-08,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.172,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-07,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.183,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-06,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.129,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-05,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.134,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-04,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.133,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-03,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.145,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-02,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.179,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-07-01,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.177,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-30,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.093,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-29,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.193,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-28,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.117,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-27,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.087,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-26,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.188,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-25,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.12,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-24,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.157,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-23,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.196,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-22,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.153,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-21,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.167,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-20,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.187,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-19,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.104,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-18,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.171,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-17,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.138,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-16,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.139,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-15,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.137,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-14,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.124,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-13,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.105,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-12,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.197,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-11,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.143,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-10,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.19,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-09,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.112,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-08,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.164,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-07,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.101,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-06,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.113,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-05,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.097,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-04,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.108,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-03,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.181,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-02,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.141,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-06-01,Baltimore / Norfolk,USA,USA East Coast,Low,Medium,0.181,Atlantic hurricane season (Jun–Nov); moderate risk.
2026-05-31,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.038,Outside hurricane season; low tropical cyclone risk.
2026-05-30,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.073,Outside hurricane season; low tropical cyclone risk.
2026-05-29,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.049,Outside hurricane season; low tropical cyclone risk.
2026-05-28,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.077,Outside hurricane season; low tropical cyclone risk.
2026-05-27,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.053,Outside hurricane season; low tropical cyclone risk.
2026-05-26,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.076,Outside hurricane season; low tropical cyclone risk.
2026-05-25,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.062,Outside hurricane season; low tropical cyclone risk.
2026-05-24,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.064,Outside hurricane season; low tropical cyclone risk.
2026-05-23,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.028,Outside hurricane season; low tropical cyclone risk.
2026-05-22,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.027,Outside hurricane season; low tropical cyclone risk.
2026-05-21,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.051,Outside hurricane season; low tropical cyclone risk.
2026-05-20,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.04,Outside hurricane season; low tropical cyclone risk.
2026-05-19,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.031,Outside hurricane season; low tropical cyclone risk.
2026-05-18,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.028,Outside hurricane season; low tropical cyclone risk.
2026-05-17,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.069,Outside hurricane season; low tropical cyclone risk.
2026-05-16,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.07,Outside hurricane season; low tropical cyclone risk.
2026-05-15,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.079,Outside hurricane season; low tropical cyclone risk.
2026-05-14,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.043,Outside hurricane season; low tropical cyclone risk.
2026-05-13,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.073,Outside hurricane season; low tropical cyclone risk.
2026-05-12,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.033,Outside hurricane season; low tropical cyclone risk.
2026-05-11,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.038,Outside hurricane season; low tropical cyclone risk.
2026-05-10,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.078,Outside hurricane season; low tropical cyclone risk.
2026-05-09,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.039,Outside hurricane season; low tropical cyclone risk.
2026-05-08,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.054,Outside hurricane season; low tropical cyclone risk.
2026-05-07,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.036,Outside hurricane season; low tropical cyclone risk.
2026-05-06,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.031,Outside hurricane season; low tropical cyclone risk.
2026-05-05,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.077,Outside hurricane season; low tropical cyclone risk.
2026-05-04,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.054,Outside hurricane season; low tropical cyclone risk.
2026-05-03,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.057,Outside hurricane season; low tropical cyclone risk.
2026-05-02,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.056,Outside hurricane season; low tropical cyclone risk.
2026-05-01,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.043,Outside hurricane season; low tropical cyclone risk.
2026-04-30,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.041,Outside hurricane season; low tropical cyclone risk.
2026-04-29,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.067,Outside hurricane season; low tropical cyclone risk.
2026-04-28,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.073,Outside hurricane season; low tropical cyclone risk.
2026-04-27,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.079,Outside hurricane season; low tropical cyclone risk.
2026-04-26,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.031,Outside hurricane season; low tropical cyclone risk.
2026-04-25,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.039,Outside hurricane season; low tropical cyclone risk.
2026-04-24,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.077,Outside hurricane season; low tropical cyclone risk.
2026-04-23,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.049,Outside hurricane season; low tropical cyclone risk.
2026-04-22,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.023,Outside hurricane season; low tropical cyclone risk.
2026-04-21,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.032,Outside hurricane season; low tropical cyclone risk.
2026-04-20,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.072,Outside hurricane season; low tropical cyclone risk.
2026-04-19,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.048,Outside hurricane season; low tropical cyclone risk.
2026-04-18,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.063,Outside hurricane season; low tropical cyclone risk.
2026-04-17,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.025,Outside hurricane season; low tropical cyclone risk.
2026-04-16,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.08,Outside hurricane season; low tropical cyclone risk.
2026-04-15,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.055,Outside hurricane season; low tropical cyclone risk.
2026-04-14,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.023,Outside hurricane season; low tropical cyclone risk.
2026-04-13,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.048,Outside hurricane season; low tropical cyclone risk.
2026-04-12,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.062,Outside hurricane season; low tropical cyclone risk.
2026-04-11,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.077,Outside hurricane season; low tropical cyclone risk.
2026-04-10,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.036,Outside hurricane season; low tropical cyclone risk.
2026-04-09,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.078,Outside hurricane season; low tropical cyclone risk.
2026-04-08,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.027,Outside hurricane season; low tropical cyclone risk.
2026-04-07,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.068,Outside hurricane season; low tropical cyclone risk.
2026-04-06,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.06,Outside hurricane season; low tropical cyclone risk.
2026-04-05,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.027,Outside hurricane season; low tropical cyclone risk.
2026-04-04,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.058,Outside hurricane season; low tropical cyclone risk.
2026-04-03,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.079,Outside hurricane season; low tropical cyclone risk.
2026-04-02,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.027,Outside hurricane season; low tropical cyclone risk.
2026-04-01,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.045,Outside hurricane season; low tropical cyclone risk.
2026-03-31,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.026,Outside hurricane season; low tropical cyclone risk.
2026-03-30,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.035,Outside hurricane season; low tropical cyclone risk.
2026-03-29,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.021,Outside hurricane season; low tropical cyclone risk.
2026-03-28,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.056,Outside hurricane season; low tropical cyclone risk.
2026-03-27,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.067,Outside hurricane season; low tropical cyclone risk.
2026-03-26,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.042,Outside hurricane season; low tropical cyclone risk.
2026-03-25,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.025,Outside hurricane season; low tropical cyclone risk.
2026-03-24,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.069,Outside hurricane season; low tropical cyclone risk.
2026-03-23,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.054,Outside hurricane season; low tropical cyclone risk.
2026-03-22,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.062,Outside hurricane season; low tropical cyclone risk.
2026-03-21,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.076,Outside hurricane season; low tropical cyclone risk.
2026-03-20,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.03,Outside hurricane season; low tropical cyclone risk.
2026-03-19,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.03,Outside hurricane season; low tropical cyclone risk.
2026-03-18,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.066,Outside hurricane season; low tropical cyclone risk.
2026-03-17,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.046,Outside hurricane season; low tropical cyclone risk.
2026-03-16,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.031,Outside hurricane season; low tropical cyclone risk.
2026-03-15,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.079,Outside hurricane season; low tropical cyclone risk.
2026-03-14,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.028,Outside hurricane season; low tropical cyclone risk.
2026-03-13,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.053,Outside hurricane season; low tropical cyclone risk.
2026-03-12,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.071,Outside hurricane season; low tropical cyclone risk.
2026-03-11,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.055,Outside hurricane season; low tropical cyclone risk.
2026-03-10,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.053,Outside hurricane season; low tropical cyclone risk.
2026-03-09,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.071,Outside hurricane season; low tropical cyclone risk.
2026-03-08,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.029,Outside hurricane season; low tropical cyclone risk.
2026-03-07,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.04,Outside hurricane season; low tropical cyclone risk.
2026-03-06,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.056,Outside hurricane season; low tropical cyclone risk.
2026-03-05,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.043,Outside hurricane season; low tropical cyclone risk.
2026-03-04,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.042,Outside hurricane season; low tropical cyclone risk.
2026-03-03,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.067,Outside hurricane season; low tropical cyclone risk.
2026-03-02,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.065,Outside hurricane season; low tropical cyclone risk.
2026-03-01,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.061,Outside hurricane season; low tropical cyclone risk.
2026-02-28,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.026,Outside hurricane season; low tropical cyclone risk.
2026-02-27,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.051,Outside hurricane season; low tropical cyclone risk.
2026-02-26,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.047,Outside hurricane season; low tropical cyclone risk.
2026-02-25,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.076,Outside hurricane season; low tropical cyclone risk.
2026-02-24,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.02,Outside hurricane season; low tropical cyclone risk.
2026-02-23,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.072,Outside hurricane season; low tropical cyclone risk.
2026-02-22,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.033,Outside hurricane season; low tropical cyclone risk.
2026-02-21,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.061,Outside hurricane season; low tropical cyclone risk.
2026-02-20,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.048,Outside hurricane season; low tropical cyclone risk.
2026-02-19,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.062,Outside hurricane season; low tropical cyclone risk.
2026-02-18,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.06,Outside hurricane season; low tropical cyclone risk.
2026-02-17,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.03,Outside hurricane season; low tropical cyclone risk.
2026-02-16,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.069,Outside hurricane season; low tropical cyclone risk.
2026-02-15,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.036,Outside hurricane season; low tropical cyclone risk.
2026-02-14,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.064,Outside hurricane season; low tropical cyclone risk.
2026-02-13,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.076,Outside hurricane season; low tropical cyclone risk.
2026-02-12,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.029,Outside hurricane season; low tropical cyclone risk.
2026-02-11,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.025,Outside hurricane season; low tropical cyclone risk.
2026-02-10,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.073,Outside hurricane season; low tropical cyclone risk.
2026-02-09,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.024,Outside hurricane season; low tropical cyclone risk.
2026-02-08,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.067,Outside hurricane season; low tropical cyclone risk.
2026-02-07,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.043,Outside hurricane season; low tropical cyclone risk.
2026-02-06,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.072,Outside hurricane season; low tropical cyclone risk.
2026-02-05,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.026,Outside hurricane season; low tropical cyclone risk.
2026-02-04,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.027,Outside hurricane season; low tropical cyclone risk.
2026-02-03,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.022,Outside hurricane season; low tropical cyclone risk.
2026-02-02,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.059,Outside hurricane season; low tropical cyclone risk.
2026-02-01,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.058,Outside hurricane season; low tropical cyclone risk.
2026-01-31,Baltimore / Norfolk,USA,USA East Coast,Low,Low,0.04,Outside hurricane season; low tropical cyclone risk.
