date,port_name,country,port_type,waiting_days_at_anchorage,waiting_days_at_berth,turn_around_time_days,berth_occupancy_pct,vessels_at_anchorage,source_note
2026-08-02,Baltimore / Norfolk,USA,Loading,0.22,0.31,3.53,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-08-01,Baltimore / Norfolk,USA,Loading,0.28,0.45,3.74,84,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-31,Baltimore / Norfolk,USA,Loading,0.16,0.21,3.36,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-30,Baltimore / Norfolk,USA,Loading,0.18,0.25,3.43,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-29,Baltimore / Norfolk,USA,Loading,0.13,0.2,3.33,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-28,Baltimore / Norfolk,USA,Loading,0.15,0.24,3.39,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-27,Baltimore / Norfolk,USA,Loading,0.17,0.23,3.4,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-26,Baltimore / Norfolk,USA,Loading,0.16,0.24,3.4,73,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-25,Baltimore / Norfolk,USA,Loading,0.19,0.26,3.45,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-24,Baltimore / Norfolk,USA,Loading,0.17,0.3,3.47,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-23,Baltimore / Norfolk,USA,Loading,0.16,0.2,3.36,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-22,Baltimore / Norfolk,USA,Loading,0.11,0.18,3.29,69,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-21,Baltimore / Norfolk,USA,Loading,0.15,0.26,3.41,73,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-20,Baltimore / Norfolk,USA,Loading,0.17,0.31,3.48,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-19,Baltimore / Norfolk,USA,Loading,0.17,0.27,3.45,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-18,Baltimore / Norfolk,USA,Loading,0.15,0.18,3.33,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-17,Baltimore / Norfolk,USA,Loading,0.13,0.23,3.37,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-16,Baltimore / Norfolk,USA,Loading,0.16,0.25,3.41,73,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-15,Baltimore / Norfolk,USA,Loading,0.16,0.21,3.37,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-14,Baltimore / Norfolk,USA,Loading,0.19,0.26,3.44,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-13,Baltimore / Norfolk,USA,Loading,0.18,0.26,3.44,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-12,Baltimore / Norfolk,USA,Loading,0.16,0.25,3.41,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-11,Baltimore / Norfolk,USA,Loading,0.17,0.27,3.44,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-10,Baltimore / Norfolk,USA,Loading,0.22,0.3,3.52,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-09,Baltimore / Norfolk,USA,Loading,0.15,0.25,3.4,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-08,Baltimore / Norfolk,USA,Loading,0.15,0.23,3.38,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-07,Baltimore / Norfolk,USA,Loading,0.16,0.26,3.43,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-06,Baltimore / Norfolk,USA,Loading,0.14,0.26,3.41,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-05,Baltimore / Norfolk,USA,Loading,0.21,0.29,3.49,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-04,Baltimore / Norfolk,USA,Loading,0.22,0.3,3.53,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-03,Baltimore / Norfolk,USA,Loading,0.17,0.24,3.41,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-02,Baltimore / Norfolk,USA,Loading,0.14,0.21,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-07-01,Baltimore / Norfolk,USA,Loading,0.15,0.21,3.36,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-30,Baltimore / Norfolk,USA,Loading,0.22,0.28,3.5,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-29,Baltimore / Norfolk,USA,Loading,0.19,0.26,3.46,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-28,Baltimore / Norfolk,USA,Loading,0.22,0.32,3.53,77,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-27,Baltimore / Norfolk,USA,Loading,0.12,0.21,3.33,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-26,Baltimore / Norfolk,USA,Loading,0.17,0.23,3.4,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-25,Baltimore / Norfolk,USA,Loading,0.13,0.23,3.36,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-24,Baltimore / Norfolk,USA,Loading,0.16,0.23,3.4,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-23,Baltimore / Norfolk,USA,Loading,0.16,0.25,3.41,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-22,Baltimore / Norfolk,USA,Loading,0.18,0.28,3.47,75,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-21,Baltimore / Norfolk,USA,Loading,0.16,0.2,3.36,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-20,Baltimore / Norfolk,USA,Loading,0.2,0.26,3.46,75,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-19,Baltimore / Norfolk,USA,Loading,0.15,0.26,3.42,73,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-18,Baltimore / Norfolk,USA,Loading,0.21,0.29,3.5,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-17,Baltimore / Norfolk,USA,Loading,0.18,0.25,3.43,74,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-16,Baltimore / Norfolk,USA,Loading,0.14,0.24,3.37,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-15,Baltimore / Norfolk,USA,Loading,0.2,0.26,3.46,75,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-14,Baltimore / Norfolk,USA,Loading,0.12,0.22,3.35,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-13,Baltimore / Norfolk,USA,Loading,0.13,0.19,3.32,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-12,Baltimore / Norfolk,USA,Loading,0.21,0.27,3.48,76,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-11,Baltimore / Norfolk,USA,Loading,0.15,0.23,3.38,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-10,Baltimore / Norfolk,USA,Loading,0.16,0.21,3.37,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-09,Baltimore / Norfolk,USA,Loading,0.15,0.2,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-08,Baltimore / Norfolk,USA,Loading,0.13,0.21,3.34,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-07,Baltimore / Norfolk,USA,Loading,0.17,0.27,3.43,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-06,Baltimore / Norfolk,USA,Loading,0.13,0.21,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-05,Baltimore / Norfolk,USA,Loading,0.19,0.23,3.42,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-04,Baltimore / Norfolk,USA,Loading,0.16,0.29,3.44,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-03,Baltimore / Norfolk,USA,Loading,0.17,0.27,3.44,74,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-02,Baltimore / Norfolk,USA,Loading,0.12,0.22,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-06-01,Baltimore / Norfolk,USA,Loading,0.18,0.24,3.43,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-31,Baltimore / Norfolk,USA,Loading,0.12,0.21,3.32,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-30,Baltimore / Norfolk,USA,Loading,0.15,0.18,3.33,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-29,Baltimore / Norfolk,USA,Loading,0.13,0.21,3.35,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-28,Baltimore / Norfolk,USA,Loading,0.15,0.21,3.36,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-27,Baltimore / Norfolk,USA,Loading,0.12,0.15,3.26,68,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-26,Baltimore / Norfolk,USA,Loading,0.12,0.19,3.31,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-25,Baltimore / Norfolk,USA,Loading,0.1,0.16,3.26,68,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-24,Baltimore / Norfolk,USA,Loading,0.13,0.17,3.3,69,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-23,Baltimore / Norfolk,USA,Loading,0.13,0.21,3.34,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-22,Baltimore / Norfolk,USA,Loading,0.12,0.22,3.34,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-21,Baltimore / Norfolk,USA,Loading,0.12,0.2,3.32,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-20,Baltimore / Norfolk,USA,Loading,0.14,0.19,3.34,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-19,Baltimore / Norfolk,USA,Loading,0.15,0.23,3.39,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-18,Baltimore / Norfolk,USA,Loading,0.16,0.24,3.4,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-17,Baltimore / Norfolk,USA,Loading,0.12,0.23,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-16,Baltimore / Norfolk,USA,Loading,0.18,0.26,3.44,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-15,Baltimore / Norfolk,USA,Loading,0.12,0.2,3.32,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-14,Baltimore / Norfolk,USA,Loading,0.14,0.26,3.39,73,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-13,Baltimore / Norfolk,USA,Loading,0.14,0.21,3.36,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-12,Baltimore / Norfolk,USA,Loading,0.11,0.17,3.28,69,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-11,Baltimore / Norfolk,USA,Loading,0.13,0.23,3.36,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-10,Baltimore / Norfolk,USA,Loading,0.15,0.19,3.34,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-09,Baltimore / Norfolk,USA,Loading,0.14,0.21,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-08,Baltimore / Norfolk,USA,Loading,0.15,0.23,3.38,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-07,Baltimore / Norfolk,USA,Loading,0.12,0.16,3.28,69,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-06,Baltimore / Norfolk,USA,Loading,0.13,0.2,3.33,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-05,Baltimore / Norfolk,USA,Loading,0.13,0.22,3.36,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-04,Baltimore / Norfolk,USA,Loading,0.15,0.19,3.34,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-03,Baltimore / Norfolk,USA,Loading,0.11,0.17,3.28,69,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-02,Baltimore / Norfolk,USA,Loading,0.13,0.2,3.32,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-05-01,Baltimore / Norfolk,USA,Loading,0.12,0.17,3.29,69,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-30,Baltimore / Norfolk,USA,Loading,0.12,0.21,3.33,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-29,Baltimore / Norfolk,USA,Loading,0.14,0.19,3.33,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-28,Baltimore / Norfolk,USA,Loading,0.15,0.19,3.35,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-27,Baltimore / Norfolk,USA,Loading,0.13,0.19,3.32,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-26,Baltimore / Norfolk,USA,Loading,0.14,0.24,3.38,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-25,Baltimore / Norfolk,USA,Loading,0.12,0.21,3.33,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-24,Baltimore / Norfolk,USA,Loading,0.15,0.22,3.36,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-23,Baltimore / Norfolk,USA,Loading,0.11,0.2,3.31,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-22,Baltimore / Norfolk,USA,Loading,0.14,0.2,3.35,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-21,Baltimore / Norfolk,USA,Loading,0.12,0.19,3.32,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-20,Baltimore / Norfolk,USA,Loading,0.14,0.2,3.33,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-19,Baltimore / Norfolk,USA,Loading,0.18,0.25,3.43,74,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-18,Baltimore / Norfolk,USA,Loading,0.17,0.24,3.41,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-17,Baltimore / Norfolk,USA,Loading,0.12,0.17,3.29,69,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-16,Baltimore / Norfolk,USA,Loading,0.12,0.18,3.3,69,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-15,Baltimore / Norfolk,USA,Loading,0.1,0.17,3.27,68,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-14,Baltimore / Norfolk,USA,Loading,0.11,0.2,3.3,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-13,Baltimore / Norfolk,USA,Loading,0.15,0.22,3.36,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-12,Baltimore / Norfolk,USA,Loading,0.15,0.21,3.36,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-11,Baltimore / Norfolk,USA,Loading,0.15,0.23,3.39,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-10,Baltimore / Norfolk,USA,Loading,0.16,0.23,3.38,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-09,Baltimore / Norfolk,USA,Loading,0.11,0.19,3.3,69,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-08,Baltimore / Norfolk,USA,Loading,0.12,0.2,3.32,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-07,Baltimore / Norfolk,USA,Loading,0.12,0.18,3.29,69,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-06,Baltimore / Norfolk,USA,Loading,0.12,0.2,3.32,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-05,Baltimore / Norfolk,USA,Loading,0.13,0.21,3.34,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-04,Baltimore / Norfolk,USA,Loading,0.12,0.23,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-03,Baltimore / Norfolk,USA,Loading,0.12,0.2,3.32,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-02,Baltimore / Norfolk,USA,Loading,0.12,0.2,3.32,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-04-01,Baltimore / Norfolk,USA,Loading,0.14,0.21,3.35,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-31,Baltimore / Norfolk,USA,Loading,0.14,0.17,3.31,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-30,Baltimore / Norfolk,USA,Loading,0.17,0.25,3.41,73,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-29,Baltimore / Norfolk,USA,Loading,0.12,0.18,3.3,70,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-28,Baltimore / Norfolk,USA,Loading,0.14,0.2,3.34,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-27,Baltimore / Norfolk,USA,Loading,0.16,0.23,3.38,72,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-26,Baltimore / Norfolk,USA,Loading,0.14,0.23,3.37,72,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-25,Baltimore / Norfolk,USA,Loading,0.13,0.2,3.34,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-24,Baltimore / Norfolk,USA,Loading,0.1,0.17,3.27,68,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-23,Baltimore / Norfolk,USA,Loading,0.13,0.23,3.36,71,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-22,Baltimore / Norfolk,USA,Loading,0.18,0.23,3.42,73,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-21,Baltimore / Norfolk,USA,Loading,0.14,0.18,3.32,70,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-20,Baltimore / Norfolk,USA,Loading,0.13,0.22,3.36,71,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-19,Baltimore / Norfolk,USA,Loading,0.13,0.16,3.29,69,1,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
2026-03-18,Baltimore / Norfolk,USA,Loading,0.1,0.18,3.28,69,0,"Synthetic (2011-2026, calibrated to Ministry TRT & UNCTAD patterns)"
